a2,a1,txt,t,id,fs,n,ts,v,coordinate_x,coordinate_y
4200AGL,SFC,"NOTAM UAS Operating Area JNU_06/049 
DEFINED AS  1NM RADIUS OF 5817N13422W (THANE)  
SFC-7860FT (SFC-4200FT AGL)  202406191600-202412312359.",drotam,560793119,1718812800,JNU_06/049,1735689540,6/19 16:00Z to 12/31 23:59Z,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Base Opeartor (907) 247-6289",drotam_uasfr,424828930,,,,,,
28000,SFC,"NOTAM UAS Operating Area PNM_07/577 
DEFINED AS  480829N0971609W (9.6NM SE D06) TO 480836N0972327W (9.5NM S D06) TO 480736N0972917W (10.3NM SSW D06) TO 480514N0973522W (14.4NM SW D06) TO 481610N0995042W (9.8NM SE RUG) TO 483200N0994600W (8.3NM SE 2H9) TO 484600N0993600W (6.3NM S 06D) TO 485336N0992513W (7.4NM E 06D) TO 485439N0971530W (1.7NM S PMB) TO POINT OF ORIGIN  
SFC-28000FT (SFC-27250FT AGL) 202407301628-202507302359.",drotam,560793244,1722356880,PNM_07/577,1753919940,7/30 16:28Z to 7/30 23:59Z,48.14138888888889,-97.26916666666666
18000,11000,"NOTAM UAS Operating Area PNM_07/578 
DEFINED AS  485439N0971530W (2NM S PMB) TO 484942N0964014W (10NM NE HCO) TO 483722N0961709W (10NM NE 23D) TO 482554N0960458W (18.6NM NW 3G2) TO 480627N0955538W (10NM ENE TVF) TO 475746N0971617W (3.5NM W GFK) TO POINT OF ORIGIN  11000FT-18000FT (9780FT-17250FT AGL) 
202407301631-202507302359.",drotam,560792901,1722357060,PNM_07/578,1753919940,7/30 16:31Z to 7/30 23:59Z,48.91083333333333,-97.25833333333334
400AGL,SFC,"NOTAM UAS Operating Area ABQ 12/155 
DEFINED AS 323324N1052949W TO 324507N1055218W TO 324506N1055921W TO 323247N1060124W TO 323112N1060207W TO 322801N1060158W TO 322440N1060256W TO 322253N1060453W TO 322049N1060616W TO 322115N1060816W TO 322500N1060557W TO 323602N1060553W TO 325210N1060337W TO 325212N1060259W TO 325226N1060258W TO 325226N1060358W TO 331430N1060359W TO 331437N1054407W TO 325624N1054407W TO 325655N1051937W TO 324629N1045818W TO 321802N1052014W TO 315541N1052307W TO 315542N1060101W TO 322618N1052953W TO POINT OF ORIGIN 
SFC-10110FT (SFC-400FT AGL) 2412161300-2412202300.",drotam,560793033,1734354000,ABQ 12/155,1734735600,12/16 13:00Z to 12/20 23:00Z,32.556666666666665,-105.49694444444445
4000AGL,SFC,"NOTAM UAS Operating Area FTW_09/706 
DEFINED AS  25NM RADIUS OF ADM066067 (16.1NM NE AQR)  
SFC-5850FT (SFC-4000FT AGL)  DLY SR-SS 202409271217-202412312325.",drotam,560792944,1727439420,FTW_09/706,1735687500,9/27 12:17Z to 12/31 23:25Z,,
300AGL,SFC,"NOTAM UAS Operating Area MKL_05/231 
DEFINED AS  361534N0940158W (6NM NE ASG) TO 361540N0940309W (5.1NM NE ASG) TO 361315N0940607W (2.4NM NE ASG) TO 361335N0941510W (4.6NM SE XNA) TO 361355N0942000W (3.7NM SSW XNA) TO 361106N0942126W (5.8NM SW XNA) TO 360816N0942129W (7.3NM SE SLG) TO 360812N0943053W (3.1NM SSW SLG) TO 361030N0943220W (2.4NM SW SLG) TO 361036N0944125W (9.3NM WSW SLG) TO 360943N0944125W (9.3NM WSW SLG) TO 360942N0944658W (13.6NM WSW SLG) TO 360338N0945323W (8.8NM NE TQH) TO 355406N0945336W (5.3NM ESE TQH) TO 354850N0945517W (5NM NEN 44M) TO 353821N0945924W (5.1NM SW 44M) TO 353732N0944855W (7.9NM SE 44M) TO 353730N0944414W (8.9NM SW 1PP) TO 353821N0944414W (7.9NM SW 1PP) TO 353822N0942822W (10.8NM SE 1PP) TO 354436N0942926W (7.3NM ESE 1PP) TO 354422N0941351W (20NM E 1PP) TO 354316N0941354W (20NM ESE 1PP) TO 354107N0935720W (11.1NM NW 7M5) TO 354433N0934627W (13.3NM NE 7M5) TO 354614N0934235W (16.3NM NE 7M5) TO 354554N0933422W (18.8NM NE 7M5) TO 355354N0933001W (16.7NM SE H34) TO 355442N0933218W (14.4NM SE H34) TO 355544N0934054W (10.3NM SE H34) TO 355629N0934400W (8.4NM SSE H34) TO 360015N0934447W (4.3NM SSE H34) TO 360236N0934608W (2.3NM SW H34) TO 360653N0934613W (1NM NW H34) TO 361119N0934757W (6NM NNW H34) TO 361353N0935048W (9NM NW H34) TO 361528N0935607W (9.6NM NE ASG) TO 361518N0940113W (6NM NE ASG) TO POINT OF ORIGIN  
SFC-2870FT (SFC-300FT AGL)  202305191442-202505192359.",drotam,560792837,1684507320,MKL_05/231,1747699140,5/19 14:42Z to 5/19 23:59Z,36.25944444444445,-94.03277777777778
400AGL,SFC,"NOTAM UAS Operating Area CXO 12/289 
DEFINED AS 25NM RADIUS OF 275227N0983955W (3.6NM WSW T19) 
SFC-1340FT (SFC-400FT AGL) DLY 0000-2359 2412140000-2412312359.",drotam,560792996,1734134400,CXO 12/289,1735689540,12/14 00:00Z to 12/31 23:59Z,27.874166666666667,-98.66527777777779
29000,SFC,"NOTAM UAS Operating Area BDR_01/102 
DEFINED AS  20NM RADIUS OF 440336N0754317W (GTB)  
SFC-29000FT 1701091849-PERM.",drotam,560793146,1483987740,BDR_01/102,0,1/9 18:49Z until further notice,44.059999999999995,-75.7213888888889
6000,SFC,"NOTAM UAS Operating Area HHR_12/003 
DEFINED AS  20NM RADIUS OF 352558N1192911W (4NM S L62)  
SFC-6000FT (SFC-5790FT AGL) DLY 1400-0200 202412031400-202503310200.",drotam,560792942,1733234400,HHR_12/003,1743386400,12/3 14:00Z to 3/31 02:00Z,35.43277777777777,-119.4863888888889
